t		Berechnungsdauer
0		0.0228647
1		0.045641
2		0.0680884
3		0.0903112
4		0.112877
5		0.135501
6		0.157189
7		0.178956
8		0.200379
9		0.221849
10		0.248233
11		0.270155
12		0.292513
13		0.316037
14		0.339117
15		0.365295
16		0.387204
17		0.408734
18		0.431419
19		0.452947
20		0.478025
21		0.499867
22		0.52164
23		0.544108
24		0.565883
25		0.58893
26		0.611472
27		0.632959
28		0.654238
29		0.677563
30		0.700352
31		0.721737
32		0.743026
33		0.764376
34		0.786042
35		0.810625
36		0.831891
37		0.853241
38		0.874531
39		0.89594
40		0.919592
41		0.94092
42		0.962206
43		0.983592
44		1.00485
45		1.02675
46		1.0506
47		1.07189
48		1.09324
49		1.11459
50		1.13654
51		1.15788
52		1.17918
53		1.2006
54		1.22446
55		1.24721
56		1.26849
57		1.28982
58		1.31116
59		1.3332
60		1.35815
61		1.37949
62		1.40081
63		1.42223
64		1.44353
65		1.46932
66		1.49061
67		1.51204
68		1.53332
69		1.55467
70		1.57819
71		1.60132
72		1.62263
73		1.64398
74		1.66527
75		1.68761
76		1.70893
77		1.73029
78		1.75155
79		1.77465
80		1.79639
81		1.81772
82		1.83898
83		1.86057
84		1.883
85		1.90567
86		1.92697
87		1.94833
88		1.96962
89		1.99129
90		2.01467
91		2.03601
92		2.05729
93		2.07864
94		2.09991
95		2.12568
96		2.14695
97		2.16827
98		2.18954
99		2.21089
100		2.2333
101		2.25465
102		2.27592
103		2.29725
104		2.31911
105		2.34246
106		2.36374
107		2.38508
108		2.40633
109		2.42768
110		2.45137
111		2.47268
112		2.49395
113		2.51536
114		2.53669
115		2.56245
116		2.58399
117		2.60535
118		2.62669
119		2.64805
120		2.67134
121		2.69291
122		2.71421
123		2.7356
124		2.75688
125		2.7792
126		2.8005
127		2.82189
128		2.84322
129		2.86672
130		2.88854
131		2.90993
132		2.93123
133		2.95266
134		2.97405
135		2.99802
136		3.02108
137		3.04249
138		3.06376
139		3.08512
140		3.10639
141		3.13187
142		3.15392
143		3.17535
144		3.19664
145		3.218
146		3.24134
147		3.26304
148		3.28431
149		3.30566
150		3.32713
151		3.34848
152		3.36981
153		3.39116
154		3.41415
155		3.43792
156		3.45925
157		3.48062
158		3.5019
159		3.52376
160		3.54879
161		3.57017
162		3.59145
163		3.61282
164		3.63414
165		3.66011
166		3.68137
167		3.70272
168		3.72399
169		3.74543
170		3.77066
171		3.79202
172		3.81328
173		3.83465
174		3.85592
175		3.89471
176		3.92399
177		3.94915
178		3.97356
179		3.99609
180		4.01735
181		4.03873
182		4.06003
183		4.08347
184		4.10559
185		4.12695
186		4.14825
187		4.16962
188		4.19152
189		4.21442
190		4.23568
191		4.25705
192		4.27833
193		4.29967
194		4.32297
195		4.34432
196		4.36558
197		4.38694
198		4.40822
199		4.43046
200		4.45938
