t		Berechnungsdauer
0		1.15882
1		1.23371
2		1.31651
3		1.39004
4		1.46931
5		1.54284
6		1.62216
7		1.69566
8		1.7751
9		1.84861
10		1.92653
11		2.00002
12		2.07601
13		2.14951
14		2.22613
15		2.29953
16		2.37934
17		2.45287
18		2.53154
19		2.60496
20		2.68192
21		2.75545
22		2.83251
23		2.90596
24		2.98637
25		4.09967
26		4.16025
27		4.22277
28		4.28333
29		4.34903
30		4.4095
31		4.47476
32		4.53521
33		4.60047
34		4.66106
35		4.7263
36		4.78687
37		4.85189
38		4.91249
39		4.97777
40		5.03824
41		5.1035
42		5.16403
43		5.22981
44		5.2904
45		5.35552
46		5.41605
47		5.48132
48		5.54177
49		5.60701
50		6.53413
51		6.59457
52		6.65959
53		6.71997
54		6.78471
55		6.84504
56		6.90934
57		6.96975
58		7.03459
59		7.09494
60		7.1625
61		7.22286
62		7.28618
63		7.34665
64		7.40735
65		7.46841
66		7.5319
67		7.59222
68		7.65422
69		7.71462
70		7.77666
71		7.83728
72		7.8992
73		7.96002
74		8.02843
75		9.14042
76		9.21396
77		9.29015
78		9.36369
79		9.4425
80		9.51611
81		9.59312
82		9.66685
83		9.74771
84		9.8214
85		9.90248
86		9.97623
87		10.0531
88		10.1268
89		10.2036
90		10.2772
91		10.3553
92		10.4289
93		10.5057
94		10.5792
95		10.6555
96		10.729
97		10.8094
98		10.8829
99		10.9623
100		12.0995
101		12.1732
102		12.2518
103		12.3254
104		12.4025
105		12.476
106		12.5547
107		12.6281
108		12.705
109		12.7786
110		12.8547
111		12.9281
112		13.0053
113		13.0789
114		13.1612
115		13.2346
116		13.3142
117		13.3883
118		13.4678
119		13.5419
120		13.6214
121		13.6949
122		13.7744
123		13.8479
124		13.9274
125		15.089
126		15.1761
127		15.2571
128		15.3308
129		15.4119
130		15.4855
131		15.5636
132		15.6373
133		15.7191
134		15.7928
135		15.8704
136		15.9441
137		16.0176
138		16.0781
139		16.1415
140		16.2021
141		16.2655
142		16.3261
143		16.3887
144		16.4493
145		16.5119
146		16.5725
147		16.6379
148		16.6984
149		16.7633
150		17.6965
151		17.757
152		17.8196
153		17.8799
154		17.9456
155		18.006
156		18.0711
157		18.1314
158		18.1968
159		18.2572
160		18.3204
161		18.3807
162		18.444
163		18.5044
164		18.5703
165		18.6306
166		18.6935
167		18.754
168		18.8165
169		18.8768
170		18.9401
171		19.0005
172		19.0632
173		19.1236
174		19.1864
175		20.1131
176		20.1736
177		20.2369
178		20.2974
179		20.3609
180		20.4215
181		20.4849
182		20.5454
183		20.6096
184		20.6701
185		20.7343
186		20.7948
187		20.8591
188		20.9196
189		20.9846
190		21.0451
191		21.1099
192		21.1705
193		21.235
194		21.2955
195		21.3604
196		21.4208
197		21.4855
198		21.546
199		21.6091
200		22.529
201		22.5895
202		22.6541
203		22.7145
204		22.7799
205		22.8402
206		22.9057
207		22.966
208		23.0313
209		23.0917
210		23.157
211		23.2174
212		23.2829
213		23.3432
214		23.4091
215		23.4694
216		23.5353
217		23.5957
218		23.6609
219		23.7213
220		23.7867
221		23.8471
222		23.9126
223		23.9729
224		24.0613
225		25.3865
226		25.4731
227		25.5641
228		25.6506
229		25.7406
230		25.8271
231		25.9175
232		26.004
233		26.0984
234		26.1851
235		26.2759
236		26.3624
237		26.4609
238		26.5475
239		26.6415
240		26.728
241		26.8231
242		26.9097
243		27.0049
244		27.0914
245		27.1817
246		27.2682
247		27.3584
248		27.4449
249		27.5356
250		28.7443
251		28.8178
252		28.8943
253		28.9679
254		29.0452
255		29.1187
256		29.195
257		29.2684
258		29.3489
259		29.4224
260		29.5025
261		29.5759
262		29.6553
263		29.7288
264		29.8083
265		29.8817
266		29.9612
267		30.0347
268		30.1142
269		30.1876
270		30.2675
271		30.341
272		30.4211
273		30.4945
274		30.5742
275		31.7268
276		31.8006
277		31.8787
278		31.9523
279		32.0255
280		32.0861
281		32.1503
282		32.2109
283		32.276
284		32.3365
285		32.4016
286		32.4621
287		32.5274
288		32.5881
289		32.6533
290		32.7139
291		32.776
292		32.8365
293		32.8985
294		32.959
295		33.021
296		33.0816
297		33.1435
298		33.2041
299		33.2661
300		34.1968
301		34.2573
