t		Berechnungsdauer
0		1.17225
1		2.48886
2		3.80722
3		5.01786
4		6.15102
5		7.28162
6		8.41226
7		9.34922
8		10.2576
9		11.163
10		12.097
11		13.0495
12		13.9536
13		14.86
14		15.7661
15		16.7634
16		18.0928
17		19.4161
18		20.7399
19		22.0574
20		23.3654
21		24.6789
22		25.9965
23		27.3221
24		28.6392
25		29.9531
26		31.2679
27		32.578
28		33.9036
29		35.222
30		36.5399
31		37.8535
32		39.1727
33		40.4879
34		41.7958
35		43.1173
36		44.4316
37		45.7452
38		47.0647
39		48.3824
40		49.6975
41		51.0168
42		52.34
43		53.6667
44		54.9846
45		56.448
46		57.7658
47		59.0835
48		60.4025
49		61.7199
50		63.046
51		64.3619
52		65.6749
53		66.9909
54		68.3113
55		69.6242
56		70.9367
57		72.2523
58		73.568
59		74.8789
60		76.1981
61		77.5117
62		78.8278
63		80.1446
64		81.4633
65		82.7812
66		84.0932
67		85.4088
68		86.7273
69		88.0433
70		89.3603
71		90.6696
72		91.9858
73		93.3021
74		94.6149
75		95.9312
76		97.2426
77		98.5546
78		99.8799
79		101.196
80		102.665
81		103.98
82		105.297
83		106.615
84		107.932
85		109.247
86		110.565
87		111.882
88		113.199
89		114.52
90		115.845
91		117.172
92		118.501
93		119.815
94		121.125
95		122.433
96		123.756
97		125.079
98		126.405
99		127.717
100		129.037
101		130.347
102		131.665
103		132.982
104		134.295
105		135.603
106		136.928
107		138.237
108		139.552
109		140.868
110		142.182
111		143.494
112		144.807
113		146.113
114		147.438
115		148.755
116		150.067
117		151.381
118		152.696
119		154.012
120		155.334
121		156.65
122		157.964
123		159.283
124		160.598
125		161.921
126		163.248
127		164.563
128		165.878
129		167.192
130		168.548
131		169.859
132		171.178
133		172.498
134		173.806
135		175.129
136		176.439
137		177.763
138		179.085
139		180.399
140		181.718
141		183.036
142		184.354
143		185.667
144		186.989
145		188.308
146		189.623
147		190.94
148		192.259
149		193.569
150		194.884
151		196.201
152		197.517
153		198.831
154		200.158
155		201.47
156		202.787
157		204.103
158		205.411
159		206.719
160		208.031
161		209.343
162		210.664
163		211.979
164		213.294
165		214.636
166		215.959
167		217.265
168		218.59
169		219.907
170		221.222
171		222.533
172		223.847
173		225.164
174		226.476
175		227.79
176		229.109
177		230.449
178		231.756
179		233.077
180		234.391
181		235.714
182		237.042
183		238.372
184		239.684
185		241.005
186		242.324
187		243.64
188		244.957
189		246.264
190		247.583
191		248.901
192		250.217
193		251.528
194		252.84
195		254.155
196		255.467
197		256.78
198		258.097
199		259.415
200		260.779
