t		Berechnungsdauer
0		0.00343315
1		0.00542607
2		0.00726745
3		0.00886117
4		0.0112896
5		0.01299
6		0.014627
7		0.016292
8		0.0179432
9		0.0196098
10		0.0212512
11		0.0229273
12		0.0245806
13		0.0262591
14		0.0279041
15		0.0295763
16		0.0341842
17		0.0427586
18		0.0465918
19		0.0513294
20		0.0550755
21		0.0615714
22		0.0660889
23		0.0694629
24		0.0717711
25		0.074907
26		0.0771675
27		0.078667
28		0.0801005
29		0.0827655
30		0.0844043
31		0.0858429
32		0.0872884
33		0.0887171
34		0.0901409
35		0.091574
36		0.0930026
37		0.0945803
38		0.0961349
39		0.0976819
40		0.0992246
41		0.100641
42		0.1022
43		0.10374
44		0.108522
45		0.11752
46		0.124689
47		0.128988
48		0.130421
49		0.132183
50		0.135032
51		0.13766
52		0.139138
53		0.140771
54		0.142342
55		0.143849
56		0.145329
57		0.146812
58		0.14826
59		0.149734
60		0.151192
61		0.152685
62		0.154136
63		0.155599
64		0.157071
65		0.158556
66		0.160008
67		0.162543
68		0.164355
69		0.165954
70		0.167408
71		0.168902
72		0.17037
73		0.174956
74		0.179567
75		0.182554
76		0.184591
77		0.186278
78		0.187868
79		0.18947
80		0.192126
81		0.193649
82		0.195141
83		0.196613
84		0.198093
85		0.19956
86		0.201011
87		0.202489
88		0.203948
89		0.205425
90		0.206916
91		0.208382
92		0.209846
93		0.211309
94		0.212768
95		0.214234
96		0.21568
97		0.217157
98		0.218608
99		0.220067
100		0.222254
101		0.22585
102		0.227903
103		0.23013
104		0.231916
105		0.234461
106		0.236126
107		0.237681
108		0.239192
109		0.240748
110		0.242261
111		0.243886
112		0.245442
113		0.246974
114		0.248502
115		0.250094
116		0.251647
117		0.253221
118		0.254755
119		0.256329
120		0.257859
121		0.259446
122		0.26097
123		0.262529
124		0.26408
125		0.269417
126		0.27122
127		0.273173
128		0.276437
129		0.278059
130		0.279614
131		0.284331
132		0.291139
133		0.297816
134		0.299383
135		0.300982
136		0.302513
137		0.304027
138		0.305493
139		0.306989
140		0.308455
141		0.309939
142		0.311428
143		0.312909
144		0.314379
145		0.31587
146		0.317322
147		0.318819
148		0.320277
149		0.321773
150		0.324826
151		0.327223
152		0.328784
153		0.330301
154		0.333258
155		0.334894
156		0.336405
157		0.337908
158		0.339421
159		0.341025
160		0.342545
161		0.34405
162		0.345548
163		0.347065
164		0.351663
165		0.363325
166		0.369572
167		0.37384
168		0.375678
169		0.377498
170		0.379274
171		0.381058
172		0.38281
173		0.384414
174		0.38583
175		0.388899
176		0.391294
177		0.392814
178		0.394289
179		0.395773
180		0.398483
181		0.399982
182		0.401439
183		0.40292
184		0.404379
185		0.405837
186		0.407294
187		0.40875
188		0.410188
189		0.411658
190		0.413138
191		0.414603
192		0.416044
193		0.417498
194		0.422579
195		0.427121
196		0.434303
197		0.438217
198		0.442005
199		0.443877
200		0.446653
