t		Berechnungsdauer
0		0.0902938
1		0.0934984
2		0.0966082
3		0.108444
4		0.119917
5		0.126377
6		0.129106
7		0.131801
8		0.135852
9		0.138541
10		0.141607
11		0.143386
12		0.145824
13		0.148554
14		0.151267
15		0.154035
16		0.156749
17		0.159484
18		0.1622
19		0.164907
20		0.167789
21		0.170488
22		0.173201
23		0.175904
24		0.178617
25		0.26937
26		0.271662
27		0.27397
28		0.276232
29		0.280302
30		0.283937
31		0.286661
32		0.28992
33		0.292674
34		0.295352
35		0.298132
36		0.301348
37		0.304048
38		0.30673
39		0.309428
40		0.312123
41		0.314811
42		0.317535
43		0.320377
44		0.323064
45		0.325762
46		0.328444
47		0.331123
48		0.333823
49		0.336516
50		0.420258
51		0.422549
52		0.424822
53		0.428607
54		0.431749
55		0.435781
56		0.438845
57		0.441859
58		0.444841
59		0.447816
60		0.450781
61		0.453746
62		0.456694
63		0.459776
64		0.462742
65		0.465709
66		0.468683
67		0.471638
68		0.474582
69		0.477612
70		0.480578
71		0.483541
72		0.486504
73		0.489448
74		0.492395
75		0.568097
76		0.57053
77		0.573484
78		0.576241
79		0.579518
80		0.583618
81		0.586593
82		0.589538
83		0.59247
84		0.595466
85		0.598391
86		0.601295
87		0.603882
88		0.606857
89		0.609912
90		0.612893
91		0.615877
92		0.619003
93		0.621982
94		0.62495
95		0.627906
96		0.630883
97		0.633872
98		0.636856
99		0.639835
100		0.715141
101		0.717917
102		0.721142
103		0.72732
104		0.731264
105		0.734009
106		0.737984
107		0.745071
108		0.748631
109		0.752421
110		0.755202
111		0.76178
112		0.767292
113		0.770652
114		0.780172
115		0.782853
116		0.785369
117		0.787843
118		0.790342
119		0.792865
120		0.79583
121		0.798286
122		0.800765
123		0.803253
124		0.805755
125		0.888371
126		0.892098
127		0.894387
128		0.897589
129		0.900317
130		0.90307
131		0.905799
132		0.908537
133		0.911268
134		0.914
135		0.91673
136		0.919468
137		0.922177
138		0.924894
139		0.9276
140		0.930321
141		0.933047
142		0.935816
143		0.938543
144		0.941279
145		0.944002
146		0.946738
147		0.949468
148		0.9522
149		0.954904
150		1.03922
151		1.04181
152		1.0441
153		1.04782
154		1.05054
155		1.05283
156		1.05592
157		1.05866
158		1.06141
159		1.06414
160		1.06688
161		1.06959
162		1.07231
163		1.07502
164		1.07774
165		1.08046
166		1.08319
167		1.08592
168		1.08865
169		1.09138
170		1.09413
171		1.09686
172		1.09959
173		1.1023
174		1.10502
175		1.18644
176		1.18877
177		1.19104
178		1.1942
179		1.19699
180		1.20153
181		1.20419
182		1.20685
183		1.20952
184		1.21219
185		1.21486
186		1.21753
187		1.22019
188		1.22284
189		1.22553
190		1.22854
191		1.2318
192		1.23447
193		1.23866
194		1.24132
195		1.24397
196		1.24662
197		1.2493
198		1.25196
199		1.25463
200		1.32941
201		1.33179
202		1.33406
203		1.33814
204		1.34091
205		1.3454
206		1.34771
207		1.35039
208		1.35306
209		1.35574
210		1.35843
211		1.36109
212		1.36374
213		1.36639
214		1.36909
215		1.37176
216		1.37442
217		1.37714
218		1.37981
219		1.38247
220		1.38512
221		1.38777
222		1.39044
223		1.39312
224		1.3958
225		1.47128
226		1.47394
227		1.47674
228		1.48067
229		1.48298
230		1.48745
231		1.49168
232		1.49434
233		1.49701
234		1.49969
235		1.50239
236		1.50506
237		1.50773
238		1.51038
239		1.51303
240		1.51573
241		1.5184
242		1.52106
243		1.52372
244		1.52639
245		1.52905
246		1.53171
247		1.53436
248		1.53703
249		1.5397
250		1.61512
251		1.61787
252		1.622
253		1.62471
254		1.62739
255		1.63006
256		1.63273
257		1.63541
258		1.63808
259		1.64167
260		1.6464
261		1.64911
262		1.65177
263		1.65452
264		1.65718
265		1.65982
266		1.66246
267		1.66512
268		1.66779
269		1.67051
270		1.67316
271		1.67584
272		1.67849
273		1.68113
274		1.68377
275		1.76495
276		1.76727
277		1.76958
278		1.77303
279		1.77553
280		1.77936
281		1.78238
282		1.78492
283		1.78827
284		1.79082
285		1.79333
286		1.79588
287		1.79841
288		1.80093
289		1.80349
290		1.80601
291		1.80852
292		1.81106
293		1.81356
294		1.81609
295		1.81862
296		1.82113
297		1.82365
298		1.82621
299		1.82872
300		1.90418
301		1.90651
302		1.90883
303		1.91112
304		1.91519
305		1.91842
306		1.92145
307		1.9251
308		1.92762
309		1.93014
310		1.93268
311		1.93518
312		1.9377
313		1.94031
314		1.94283
315		1.94535
316		1.94788
317		1.95038
318		1.95291
319		1.95549
320		1.95799
321		1.96052
322		1.96305
323		1.96556
324		1.96809
325		2.04397
326		2.04795
327		2.05139
328		2.05415
329		2.05767
330		2.06042
331		2.06318
332		2.06593
333		2.06865
334		2.07136
335		2.07409
336		2.07681
337		2.07953
338		2.08224
339		2.08498
340		2.08772
341		2.09044
342		2.09315
343		2.09586
344		2.09855
345		2.10127
346		2.10397
347		2.10668
348		2.10938
349		2.11208
350		2.19564
351		2.19796
352		2.20027
353		2.20256
354		2.20527
355		2.20865
356		2.21203
357		2.21459
358		2.21835
359		2.22088
360		2.22339
361		2.22591
362		2.22841
363		2.23093
364		2.23349
365		2.236
366		2.23851
367		2.24101
368		2.24363
369		2.24615
370		2.24871
371		2.25124
372		2.25376
373		2.25626
374		2.25877
375		2.34157
376		2.34389
377		2.34753
378		2.3511
379		2.35548
380		2.3586
381		2.36258
382		2.36536
383		2.36811
384		2.37223
385		2.37508
386		2.37785
387		2.3806
388		2.38336
389		2.38616
390		2.38891
391		2.39165
392		2.39436
393		2.39713
394		2.39985
395		2.40267
396		2.40538
397		2.40811
398		2.41083
399		2.41355
400		2.49552
401		2.49788
402		2.50018
403		2.50425
404		2.50754
405		2.51033
406		2.5136
407		2.51633
408		2.51904
409		2.52181
410		2.52452
411		2.52725
412		2.53005
413		2.53281
414		2.53551
415		2.53827
416		2.541
417		2.54381
418		2.54666
419		2.54941
420		2.55214
421		2.55485
422		2.55759
423		2.56032
424		2.56303
425		2.6454
426		2.64819
427		2.65049
428		2.65334
429		2.65641
430		2.65969
431		2.6626
432		2.6664
433		2.66908
434		2.67173
435		2.67434
436		2.67686
437		2.67949
438		2.68204
439		2.68456
440		2.68709
441		2.68962
442		2.69214
443		2.69467
444		2.69736
445		2.69988
446		2.70241
447		2.70492
448		2.70743
449		2.70995
450		2.79165
451		2.79398
452		2.79626
453		2.79856
454		2.80191
455		2.8057
456		2.80835
457		2.81182
458		2.81451
459		2.81723
460		2.81992
461		2.82256
462		2.82523
463		2.82791
464		2.83055
465		2.83323
466		2.83588
467		2.83852
468		2.84114
469		2.8438
470		2.84643
471		2.84919
472		2.85186
473		2.85453
474		2.85716
475		2.94143
476		2.94374
477		2.94724
478		2.95013
479		2.95334
480		2.95633
481		2.96046
482		2.96302
483		2.96597
484		2.96887
485		2.97176
486		2.97467
487		2.9776
488		2.98054
489		2.98344
490		2.98626
491		2.98919
492		2.99208
493		2.99455
494		2.99745
495		3.00041
496		3.00346
497		3.00637
498		3.00929
499		3.01212
500		3.09731
501		3.10042
502		3.10505
503		3.10802
504		3.11095
505		3.11392
506		3.11685
507		3.11979
508		3.12269
509		3.12521
510		3.12813
511		3.13109
512		3.13403
513		3.13697
514		3.13986
515		3.1427
516		3.14563
517		3.14856
518		3.15146
519		3.1544
520		3.15731
521		3.16021
522		3.16309
523		3.16602
524		3.16894
525		3.24596
526		3.24836
527		3.25132
528		3.25408
529		3.25799
530		3.26039
531		3.26277
532		3.26513
533		3.26745
534		3.26985
535		3.27221
536		3.27456
537		3.27688
538		3.27924
539		3.28161
540		3.28397
541		3.28628
542		3.28863
543		3.29098
544		3.29335
545		3.29568
546		3.29803
547		3.30044
548		3.30279
549		3.30511
550		3.38678
551		3.38917
552		3.39149
553		3.39516
554		3.39755
555		3.39984
556		3.40214
557		3.40445
558		3.40699
559		3.40932
560		3.41168
561		3.41402
562		3.41636
563		3.41869
564		3.42104
565		3.42337
566		3.4257
567		3.42803
568		3.43039
569		3.43274
570		3.43507
571		3.4374
572		3.43979
573		3.44213
574		3.44446
575		3.52539
576		3.52866
577		3.53101
578		3.5333
579		3.53605
580		3.53927
581		3.54216
582		3.54502
583		3.54787
584		3.55073
585		3.55365
586		3.55655
587		3.5595
588		3.56243
589		3.56544
590		3.56836
591		3.57129
592		3.57419
593		3.57709
594		3.58003
595		3.58296
596		3.58588
597		3.58893
598		3.59185
599		3.59477
600		3.67892
601		3.68127
602		3.68443
603		3.68678
604		3.68984
605		3.69216
606		3.69448
607		3.69684
608		3.69917
609		3.70149
610		3.70379
611		3.70608
612		3.7084
613		3.71077
614		3.71307
615		3.71539
616		3.71772
617		3.72001
618		3.7223
619		3.72461
620		3.72692
621		3.72922
622		3.73153
623		3.73385
624		3.73614
625		3.81888
626		3.82119
627		3.82596
628		3.82886
629		3.83175
630		3.83481
631		3.84053
632		3.84303
633		3.84547
634		3.8479
635		3.85031
636		3.85273
637		3.85524
638		3.85765
639		3.86014
640		3.86255
641		3.86496
642		3.86738
643		3.86978
644		3.87219
645		3.87467
646		3.87709
647		3.8795
648		3.8819
649		3.8843
650		3.96739
651		3.97
652		3.97231
653		3.97723
654		3.97999
655		3.98275
656		3.98538
657		3.988
658		3.9907
659		3.99335
660		3.99597
661		3.99861
662		4.00123
663		4.00385
664		4.00653
665		4.00915
666		4.01186
667		4.01448
668		4.0171
669		4.01972
670		4.02232
671		4.02495
672		4.02756
673		4.03017
674		4.03278
675		4.11629
676		4.1186
677		4.12086
678		4.12477
679		4.12792
680		4.13067
681		4.13327
682		4.13588
683		4.13849
684		4.14108
685		4.14368
686		4.14626
687		4.14885
688		4.15146
689		4.15405
690		4.15663
691		4.15924
692		4.16182
693		4.16441
694		4.16698
695		4.16958
696		4.17217
697		4.1748
698		4.17743
699		4.18003
700		4.2627
701		4.26635
702		4.26866
703		4.27092
704		4.27522
705		4.27802
706		4.28031
707		4.28257
708		4.28538
709		4.28815
710		4.29088
711		4.29357
712		4.29625
713		4.29894
714		4.3016
715		4.3043
716		4.30699
717		4.30966
718		4.31235
719		4.31502
720		4.3177
721		4.32037
722		4.32303
723		4.32571
724		4.32837
725		4.41248
726		4.41477
727		4.41707
728		4.42104
729		4.42376
730		4.42672
731		4.42967
732		4.43257
733		4.4355
734		4.43841
735		4.44133
736		4.44423
737		4.44676
738		4.44929
739		4.45184
740		4.45438
741		4.45692
742		4.45946
743		4.462
744		4.46454
745		4.46707
746		4.46972
747		4.47227
748		4.47481
749		4.47734
750		4.55647
751		4.55889
752		4.56119
753		4.56508
754		4.56808
755		4.57098
756		4.57365
757		4.57633
758		4.57901
759		4.58168
760		4.58436
761		4.58704
762		4.58975
763		4.59242
764		4.59508
765		4.59773
766		4.60039
767		4.60308
768		4.60575
769		4.60842
770		4.6129
771		4.6156
772		4.61974
773		4.62241
774		4.62509
775		4.70328
776		4.70635
777		4.70864
778		4.71249
779		4.71483
780		4.71771
781		4.72056
782		4.72327
783		4.72604
784		4.72871
785		4.73137
786		4.73403
787		4.73672
788		4.73938
789		4.74207
790		4.7448
791		4.74749
792		4.75016
793		4.75283
794		4.7555
795		4.75816
796		4.76081
797		4.76349
798		4.76621
799		4.76889
800		4.84629
801		4.84865
802		4.85257
803		4.85491
804		4.8572
805		4.85948
806		4.86225
807		4.86495
808		4.86768
809		4.87036
810		4.87303
811		4.8757
812		4.87964
813		4.88238
814		4.88506
815		4.88774
816		4.8904
817		4.89306
818		4.89573
819		4.89841
820		4.90108
821		4.90375
822		4.90642
823		4.90909
824		4.91174
825		4.99035
826		4.99264
827		4.99508
828		4.99971
829		5.00262
830		5.0055
831		5.00841
832		5.01128
833		5.01378
834		5.01632
835		5.01896
836		5.02149
837		5.024
838		5.02655
839		5.0291
840		5.03161
841		5.03412
842		5.03664
843		5.03918
844		5.04168
845		5.04434
