t		Berechnungsdauer
0		0.0508508
1		0.0923379
2		0.143218
3		0.184938
4		0.226378
5		0.269401
6		0.31031
7		0.351616
8		0.395384
9		0.436721
10		0.477748
11		0.525712
12		0.566702
13		0.607706
14		0.659189
15		0.70469
16		0.746346
17		0.793321
18		0.833472
19		0.875091
20		0.923247
21		0.964296
22		1.0052
23		1.0589
24		1.0997
25		1.14279
26		1.18948
27		1.23032
28		1.27059
29		1.31464
30		1.35482
31		1.39519
32		1.43874
33		1.47884
34		1.52453
35		1.57428
36		1.61503
37		1.65612
38		1.70289
39		1.74406
40		1.78549
41		1.83489
42		1.87579
43		1.91745
44		1.96602
45		2.00801
46		2.04973
47		2.09433
48		2.13639
49		2.17776
50		2.22748
51		2.26909
52		2.31021
53		2.35694
54		2.39878
55		2.44001
56		2.4866
57		2.54224
58		2.58445
59		2.6286
60		2.66992
61		2.7112
62		2.75808
63		2.79926
64		2.84012
65		2.88799
66		2.92963
67		2.97039
68		3.01385
69		3.05493
70		3.09592
71		3.13997
72		3.18226
73		3.22356
74		3.26885
75		3.31128
76		3.35583
77		3.40306
78		3.44384
79		3.48615
80		3.53267
81		3.57412
82		3.61636
83		3.66411
84		3.70496
85		3.74661
86		3.7903
87		3.83165
88		3.87263
89		3.91701
90		3.95782
91		3.99887
92		4.04331
93		4.0836
94		4.12545
95		4.16879
96		4.20977
97		4.25111
98		4.29484
99		4.33568
100		4.37721
101		4.41984
102		4.46084
103		4.50472
104		4.54797
105		4.58962
106		4.63116
107		4.67552
108		4.71873
109		4.76045
110		4.8055
111		4.8469
112		4.88879
113		4.93376
114		4.97604
115		5.01693
116		5.06511
117		5.10573
118		5.14678
119		5.19509
120		5.23643
121		5.27848
122		5.32573
123		5.36734
124		5.40881
125		5.45679
126		5.4975
127		5.53954
128		5.58937
129		5.63053
130		5.67216
131		5.71703
132		5.75878
133		5.80027
134		5.8454
135		5.88822
136		5.93017
137		5.97585
138		6.01754
139		6.05943
140		6.10699
141		6.14879
142		6.19028
143		6.23725
144		6.27864
145		6.32003
146		6.36784
147		6.40924
148		6.45124
149		6.49795
150		6.53984
151		6.58533
152		6.63248
153		6.67502
154		6.71682
155		6.76238
156		6.80458
157		6.8466
158		6.89112
159		6.93309
160		6.97463
161		7.02016
162		7.06105
163		7.10267
164		7.1474
165		7.18972
166		7.2309
167		7.27233
168		7.31345
169		7.35465
170		7.39651
171		7.43779
172		7.47889
173		7.52693
174		7.56839
175		7.60984
176		7.65615
177		7.69752
178		7.73931
179		7.78384
180		7.82508
181		7.86679
182		7.91183
183		7.9543
184		7.99616
185		8.04154
186		8.08361
187		8.12561
188		8.17159
189		8.21424
190		8.25813
191		8.30322
192		8.34572
193		8.38769
194		8.43279
195		8.47546
196		8.51719
197		8.56302
198		8.60579
199		8.64808
200		8.6932
