t		Berechnungsdauer
0		0.00420648
1		0.0168068
2		0.0239209
3		0.0281397
4		0.0324611
5		0.0375706
6		0.0418366
7		0.04889
8		0.0497309
9		0.0503572
10		0.0509021
11		0.0514398
12		0.0528075
13		0.0535553
14		0.0551046
15		0.0597744
16		0.0640426
17		0.0701745
18		0.0747928
19		0.078826
20		0.082454
21		0.0862145
22		0.0887813
23		0.0921657
24		0.0969005
25		0.099644
26		0.103689
27		0.105733
28		0.106551
29		0.107175
30		0.107741
31		0.108297
32		0.10887
33		0.109398
34		0.109909
35		0.110418
36		0.11092
37		0.111436
38		0.111938
39		0.112436
40		0.112967
41		0.113497
42		0.113999
43		0.114561
44		0.115241
45		0.116321
46		0.11693
47		0.117614
48		0.123113
49		0.125856
50		0.12887
51		0.134944
52		0.142648
53		0.146131
54		0.149736
55		0.154773
56		0.158975
57		0.163045
58		0.16708
59		0.170022
60		0.176963
61		0.179734
62		0.183262
63		0.186705
64		0.190384
65		0.193779
66		0.197209
67		0.200707
68		0.204266
69		0.207796
70		0.209308
71		0.209971
72		0.210562
73		0.211209
74		0.211772
75		0.213463
76		0.219577
77		0.220382
78		0.220989
79		0.221557
80		0.225489
81		0.229753
82		0.233773
83		0.235271
84		0.238148
85		0.24261
86		0.246032
87		0.257551
88		0.260229
89		0.26583
90		0.270034
91		0.27361
92		0.276089
93		0.279564
94		0.283114
95		0.286573
96		0.290133
97		0.293585
98		0.297062
99		0.300603
100		0.303302
101		0.307186
102		0.30941
103		0.310214
104		0.310818
105		0.311378
106		0.311914
107		0.312452
108		0.313002
109		0.313515
110		0.314018
111		0.314523
112		0.315035
113		0.315631
114		0.316161
115		0.316688
116		0.317203
117		0.317703
118		0.318209
119		0.318708
120		0.319576
121		0.320316
122		0.321409
123		0.32198
124		0.322508
125		0.326841
126		0.333354
127		0.336778
128		0.340557
129		0.344104
130		0.347516
131		0.351053
132		0.354533
133		0.357277
134		0.361392
135		0.362145
136		0.362882
137		0.363586
138		0.364202
139		0.364874
140		0.365485
141		0.366042
142		0.366573
143		0.368674
144		0.377579
145		0.381225
146		0.384758
147		0.388306
148		0.391784
149		0.395229
150		0.396208
151		0.396868
152		0.397449
153		0.397992
154		0.398529
155		0.39905
156		0.3996
157		0.40419
158		0.409077
159		0.413275
160		0.415776
161		0.416595
162		0.417225
163		0.417785
164		0.418324
165		0.418853
166		0.419383
167		0.419918
168		0.420416
169		0.420921
170		0.421411
171		0.421913
172		0.422401
173		0.422896
174		0.423399
175		0.426174
176		0.429647
177		0.4336
178		0.43907
179		0.441802
180		0.445689
181		0.451152
182		0.456195
183		0.459101
184		0.465605
185		0.470968
186		0.475347
187		0.477992
188		0.4819
189		0.485898
190		0.491378
191		0.494766
192		0.497453
193		0.502006
194		0.502743
195		0.50335
196		0.503912
197		0.504463
198		0.504996
199		0.5057
200		0.50973
