t		Berechnungsdauer
0		0.232391
1		0.237713
2		0.241884
3		0.245882
4		0.250288
5		0.251539
6		0.255421
7		0.259399
8		0.263372
9		0.267449
10		0.271489
11		0.275108
12		0.279107
13		0.28754
14		0.29157
15		0.29565
16		0.299613
17		0.30377
18		0.30859
19		0.311993
20		0.314976
21		0.317637
22		0.318324
23		0.319076
24		0.319749
25		0.406085
26		0.409945
27		0.414653
28		0.419647
29		0.423666
30		0.427542
31		0.431786
32		0.436162
33		0.44222
34		0.443161
35		0.448884
36		0.45113
37		0.454838
38		0.458315
39		0.462019
40		0.465444
41		0.468995
42		0.47166
43		0.47244
44		0.473077
45		0.473651
46		0.474196
47		0.474736
48		0.47534
49		0.475856
50		0.553245
51		0.556689
52		0.56026
53		0.56545
54		0.568857
55		0.572757
56		0.576858
57		0.583412
58		0.587552
59		0.591577
60		0.594654
61		0.597942
62		0.602057
63		0.606456
64		0.609827
65		0.613629
66		0.617329
67		0.621136
68		0.624879
69		0.628573
70		0.632221
71		0.636444
72		0.638809
73		0.642514
74		0.64628
75		0.72623
76		0.730265
77		0.731574
78		0.732381
79		0.733031
80		0.733634
81		0.734246
82		0.734812
83		0.735528
84		0.742914
85		0.749192
86		0.753766
87		0.764678
88		0.769979
89		0.775204
90		0.783179
91		0.786676
92		0.790115
93		0.793553
94		0.797096
95		0.80233
96		0.803158
97		0.803818
98		0.804654
99		0.805293
100		0.888387
101		0.891017
102		0.8953
103		0.898947
104		0.902969
105		0.908247
106		0.910854
107		0.914287
108		0.917724
109		0.92301
110		0.926549
111		0.930031
112		0.932313
113		0.933191
114		0.933902
115		0.934497
116		0.935183
117		0.941885
118		0.945748
119		0.950107
120		0.953676
121		0.956378
122		0.957075
123		0.95768
124		0.958272
125		1.06414
126		1.06819
127		1.07082
128		1.07428
129		1.07986
130		1.08543
131		1.09246
132		1.0932
133		1.09381
134		1.09439
135		1.09496
136		1.09568
137		1.09628
138		1.09685
139		1.09738
140		1.09796
141		1.09848
142		1.1019
143		1.10629
144		1.10899
145		1.11297
146		1.11696
147		1.12311
148		1.1292
149		1.1311
150		1.2574
151		1.25861
152		1.25924
153		1.25979
154		1.26031
155		1.26097
156		1.26212
157		1.26287
158		1.26348
159		1.26421
160		1.26501
161		1.26587
162		1.26642
163		1.26717
164		1.26778
165		1.26832
166		1.26886
167		1.26937
168		1.26989
169		1.27042
170		1.27093
171		1.27143
172		1.27193
173		1.27243
174		1.27291
175		1.37114
176		1.37186
177		1.37251
178		1.37311
179		1.37375
180		1.37433
181		1.37487
182		1.37538
183		1.37595
184		1.3765
185		1.37761
186		1.37822
187		1.37876
188		1.37927
189		1.37978
190		1.3803
191		1.3808
192		1.38143
193		1.38499
194		1.38909
195		1.38994
196		1.39061
197		1.39119
198		1.39183
199		1.39237
200		1.48268
