t		Berechnungsdauer
0		0.644058
1		1.02024
2		1.38862
3		1.7039
4		2.04197
5		2.38743
6		2.70483
7		3.03648
8		3.3469
9		3.6743
10		3.98563
11		4.32343
12		4.64389
13		4.98102
14		5.31315
15		5.62301
16		5.9362
17		6.25449
18		6.55731
19		6.87115
20		7.18537
21		7.53412
22		7.84765
23		8.17142
24		8.49009
25		8.79403
26		9.10364
27		9.41469
28		9.71712
29		10.0374
30		10.3765
31		10.6887
32		11.0003
33		11.341
34		11.6567
35		11.9996
36		12.3126
37		12.6199
38		12.9289
39		13.2709
40		13.5844
41		13.9047
42		14.227
43		14.5362
44		14.8526
45		15.194
46		15.5318
47		15.8364
48		16.144
49		16.4642
50		16.7761
51		17.0809
52		17.3902
53		17.696
54		18.0037
55		18.3082
56		18.6314
57		18.9801
58		19.2982
59		19.6114
60		19.93
61		20.2458
62		20.5556
63		20.8543
64		21.1836
65		21.4946
66		21.8307
67		22.168
68		22.4691
69		22.7877
70		23.0976
71		23.4157
72		23.7477
73		24.0735
74		24.3852
75		24.7132
76		25.0213
77		25.3339
78		25.6466
79		25.9858
80		26.3131
81		26.6176
82		26.9519
83		27.2497
84		27.5504
85		27.8935
86		28.1961
87		28.4999
88		28.8036
89		29.1045
90		29.4165
91		29.7559
92		30.0623
93		30.3783
94		30.6986
95		31.0342
96		31.3611
97		31.6777
98		31.9899
99		32.304
100		32.6569
101		32.9778
102		33.2903
103		33.6148
104		33.9202
105		34.2491
106		34.5683
107		34.9414
108		35.2423
109		35.5637
110		35.8733
111		36.169
112		36.4788
113		36.7852
114		37.0846
115		37.4207
116		37.7673
117		38.073
118		38.4156
119		38.7262
120		39.0708
121		39.3827
122		39.6919
123		40.0109
124		40.3294
125		40.6341
126		40.9564
127		41.2804
128		41.5927
129		41.9097
130		42.223
131		42.5453
132		42.874
133		43.2014
134		43.5572
135		43.8879
136		44.2186
137		44.5289
138		44.8427
139		45.1723
140		45.5012
141		45.832
142		46.1489
143		46.4785
144		46.787
145		47.106
146		47.4305
147		47.7385
148		48.049
149		48.3589
150		48.664
151		48.9858
152		49.2988
153		49.6358
154		49.9472
155		50.2644
156		50.5648
157		50.9194
158		51.227
159		51.5384
160		51.8524
161		52.1875
162		52.498
163		52.817
164		53.148
165		53.4788
166		53.7891
167		54.0999
168		54.4225
169		54.741
170		55.0405
171		55.3487
172		55.6717
173		56.0079
174		56.3136
175		56.6247
176		56.9364
177		57.2869
178		57.5991
179		57.905
